site_id,name,facility_category,latitude,longitude,inside_no_fly_zone,drone_access_class
facility_20,درمانگاه خیریه حضرت ولیعصر(عج),clinic,35.6837091,51.4311174,False,eligible_for_obstacle_safe_drone_routing
facility_21,آزمایشگاه تشخیص طبی مهرآگین,laboratory,35.7450518,51.5162507,False,eligible_for_obstacle_safe_drone_routing
facility_22,درمانگاه شبانه‌روزی حضرت ابوالفضل,clinic,35.7048378,51.487854,True,requires_special_authorization_or_ground_handoff
facility_23,آزمایشگاه مسعود,laboratory,35.7627496,51.4123269,True,requires_special_authorization_or_ground_handoff
facility_24,درمانگاه شبانه‌روزی دولت,clinic,35.7804138,51.4630707,True,requires_special_authorization_or_ground_handoff
facility_25,درمانگاه مرزداران,clinic,35.7341808,51.3550407,False,eligible_for_obstacle_safe_drone_routing
facility_26,تراب,clinic,35.7795331,51.4482507,False,eligible_for_obstacle_safe_drone_routing
facility_27,درمانگاه شوکت,clinic,35.7473483,51.5021596,False,eligible_for_obstacle_safe_drone_routing
facility_28,آزمایشگاه تشخیص طبی دکتر محرابیان,laboratory,35.7498973,51.5443573,False,eligible_for_obstacle_safe_drone_routing
facility_29,مرکز بهداشتی و درمانی شهرداری تهران,clinic,35.7135296,51.487806,True,requires_special_authorization_or_ground_handoff
facility_30,کلینیک طب سوزنی,clinic,35.7056768,51.4402153,True,requires_special_authorization_or_ground_handoff
facility_31,درمانگاه شاهد,clinic,35.7339876,51.5390586,False,eligible_for_obstacle_safe_drone_routing
facility_32,ساختمان پزشکان سینا,clinic,35.7416841,51.546967,False,eligible_for_obstacle_safe_drone_routing
facility_33,درمانگاه ایرانپارس,clinic,35.7673953,51.3094619,False,eligible_for_obstacle_safe_drone_routing
facility_34,درمانگاه فرهنگیان,clinic,35.712956,51.4895529,True,requires_special_authorization_or_ground_handoff
facility_35,مطب دکتر محمد کمالی,doctors,35.7402559,51.338697,False,eligible_for_obstacle_safe_drone_routing
facility_36,unnamed,clinic,35.7378871,51.2859707,True,requires_special_authorization_or_ground_handoff
facility_37,کلینیک فوق تخصصی چشم پزشکی نور,clinic,35.7237573,51.4384316,True,requires_special_authorization_or_ground_handoff
facility_38,کلینیک اسرا طب سنتی,clinic,35.7163157,51.4907647,True,requires_special_authorization_or_ground_handoff
facility_39,مرکز بهداشت شرکت ارتباطات زیرساخت,clinic,35.7056453,51.3979621,False,eligible_for_obstacle_safe_drone_routing
facility_40,دکتر گیتی الیاسی,doctors,35.7110315,51.3157479,True,requires_special_authorization_or_ground_handoff
facility_41,درمانگاه تخصصی شهرداری منطقه ۸,clinic,35.7252862,51.5020768,True,requires_special_authorization_or_ground_handoff
facility_42,کلینیک نسیم قیطریه,clinic,35.7923,51.4529144,False,eligible_for_obstacle_safe_drone_routing
facility_43,کلینیک تخصصی شبانه روزی ندا,clinic,35.7973568,51.4573878,False,eligible_for_obstacle_safe_drone_routing
facility_44,درمانگاه خیریه,clinic,35.7191727,51.4721931,True,requires_special_authorization_or_ground_handoff
facility_45,مرکز بهداشت شهید دکمه چی,clinic,35.7341423,51.4741091,True,requires_special_authorization_or_ground_handoff
facility_46,کلینیک پوست دکتر دولتى,clinic,35.7619289,51.4126116,False,eligible_for_obstacle_safe_drone_routing
facility_47,کلینیک پوست به‌سیما,clinic,35.7492073,51.4108098,True,requires_special_authorization_or_ground_handoff
facility_48,مطب دکتر ناطقیان,doctors,35.7527628,51.4490184,False,eligible_for_obstacle_safe_drone_routing
facility_49,کلینیک,clinic,35.7864944,51.4869653,False,eligible_for_obstacle_safe_drone_routing
facility_50,درمانگاه پارتیان,clinic,35.7392684,51.4698598,True,requires_special_authorization_or_ground_handoff
facility_51,دکتر مجتبی کلینی جراح زیبایی,doctors,35.7444093,51.4115326,False,eligible_for_obstacle_safe_drone_routing
facility_52,مطب دکتر پارسا,doctors,35.770495,51.4400062,False,eligible_for_obstacle_safe_drone_routing
facility_53,کیلینیک تخصصی تصویربرداری دلیری,clinic,35.6574773,51.372674,False,eligible_for_obstacle_safe_drone_routing
facility_54,کلینیک تصویربرداری گامانایف,clinic,35.7671947,51.4255189,False,eligible_for_obstacle_safe_drone_routing
facility_55,مطب خانم دکتر توکلی,doctors,35.7680181,51.4415913,True,requires_special_authorization_or_ground_handoff
facility_56,آزمایشگاه هاشمی نژاد,laboratory,35.6666409,51.3662636,True,requires_special_authorization_or_ground_handoff
facility_57,کیلینیک تخصصی اطفال پگاه,clinic,35.7437132,51.4584503,False,eligible_for_obstacle_safe_drone_routing
facility_58,درمانگاه خانواده,clinic,35.6769213,51.327891,True,requires_special_authorization_or_ground_handoff
facility_59,درمانگاه,clinic,35.7563219,51.3768393,False,eligible_for_obstacle_safe_drone_routing
facility_60,آزمایشگاه پاتوبیولوژی مرکزی,laboratory,35.7977808,51.4184429,False,eligible_for_obstacle_safe_drone_routing
facility_61,درمانگاه اباصالح ع,clinic,35.7895742,51.4190029,True,requires_special_authorization_or_ground_handoff
facility_62,پلی کلینیک تخصصی موسسه رفاهی کشتیرانی,clinic,35.7700608,51.4926527,True,requires_special_authorization_or_ground_handoff
facility_63,ساختمان پزشکان,clinic,35.7374215,51.3765436,False,eligible_for_obstacle_safe_drone_routing
facility_64,درمانگاه شبانه روزی گلستان غرب,clinic,35.7497635,51.2414992,True,requires_special_authorization_or_ground_handoff
facility_65,حامد محمد قهری,doctors,35.7790877,51.4631243,True,requires_special_authorization_or_ground_handoff
facility_66,درمانگاه خیریه ولیعصر(ارشاد),clinic,35.6019747,51.427069,False,eligible_for_obstacle_safe_drone_routing
facility_67,درمانگاه دکتر ایرانزاد,clinic,35.7002855,51.3683891,True,requires_special_authorization_or_ground_handoff
facility_68,مطب دکتر بهار محجوبی,doctors,35.7285404,51.4352524,False,eligible_for_obstacle_safe_drone_routing
facility_69,دکتر نبوی فوق تخصص آلرژی کودکان,doctors,35.7797316,51.4493874,False,eligible_for_obstacle_safe_drone_routing
facility_70,پاتوبیولوژی نصرت,clinic,35.7063989,51.3648739,True,requires_special_authorization_or_ground_handoff
facility_71,کلینیک سید الشهدا,clinic,35.6557356,51.35354,True,requires_special_authorization_or_ground_handoff
facility_72,کلینیک امام رضا,clinic,35.6555559,51.3538284,False,eligible_for_obstacle_safe_drone_routing
facility_73,درمانگاه رئوف,clinic,35.7745606,51.4338977,False,eligible_for_obstacle_safe_drone_routing
facility_74,مرکز روماتیسم ایران,clinic,35.7186411,51.3898664,True,requires_special_authorization_or_ground_handoff
facility_75,رادیولوژی و سونوگرافی بزرگمهر,doctors,35.7036552,51.4046207,False,eligible_for_obstacle_safe_drone_routing
facility_76,درمانگاه بهاران,clinic,35.6504544,51.3562798,False,eligible_for_obstacle_safe_drone_routing
facility_77,مرکز خدمات پزشکی شهرک شهید باقری,clinic,35.7611605,51.2058682,True,requires_special_authorization_or_ground_handoff
facility_78,unnamed,clinic,35.76849,51.291753,False,eligible_for_obstacle_safe_drone_routing
facility_79,رادیولوژی طوس,doctors,35.7113416,51.3159634,True,requires_special_authorization_or_ground_handoff
facility_80,آزمایشگاه پاتوبیولوژی پژوهش,laboratory,35.7077595,51.3059735,True,requires_special_authorization_or_ground_handoff
facility_81,مرکز خدمات جامع سلامت شهید غفاری,clinic,35.707757,51.306238,True,requires_special_authorization_or_ground_handoff
facility_83,ساختمان پزشکان سبز,clinic,35.7214278,51.3465533,True,requires_special_authorization_or_ground_handoff
facility_84,کیش طب آریا /تن آور,clinic,35.7705886,51.4399076,False,eligible_for_obstacle_safe_drone_routing
facility_85,درمانگاه شبانه‌روزی اسفند,clinic,35.7004988,51.3906119,True,requires_special_authorization_or_ground_handoff
facility_86,مطب دکتر سهراب هاشمى فشارکى,doctors,35.7800155,51.4492664,False,eligible_for_obstacle_safe_drone_routing
facility_87,آزمایشگاه پیشرفته,laboratory,35.6576189,51.3611572,False,eligible_for_obstacle_safe_drone_routing
facility_88,دارالشفا قائم,clinic,35.8048757,51.4398969,True,requires_special_authorization_or_ground_handoff
facility_89,مرکز سی تی اسکن کامرانی,clinic,35.7005725,51.3902619,True,requires_special_authorization_or_ground_handoff
facility_90,آزمایشگاه دکتر نظری,laboratory,35.7254679,51.5243617,True,requires_special_authorization_or_ground_handoff
facility_91,آزمایشگاه نارمک,laboratory,35.7287748,51.4941788,True,requires_special_authorization_or_ground_handoff
facility_93,درمانگاه شهرداری منطقه ۱۷,clinic,35.6564587,51.3642435,True,requires_special_authorization_or_ground_handoff
facility_94,پایگاه سلامت شهید صفرپور,clinic,35.7530491,51.2195866,True,requires_special_authorization_or_ground_handoff
facility_95,درمانگاه افرا,clinic,35.6581232,51.3581127,True,requires_special_authorization_or_ground_handoff
facility_96,دکتر حامد عباسی,doctors,35.8048619,51.4217257,False,eligible_for_obstacle_safe_drone_routing
facility_97,صبا,clinic,35.6562412,51.3533501,True,requires_special_authorization_or_ground_handoff
facility_98,درمانگاه ابوریحان,clinic,35.6995742,51.4022672,False,eligible_for_obstacle_safe_drone_routing
facility_99,کاشت مو ایران نوین,clinic,35.7868693,51.3506788,False,eligible_for_obstacle_safe_drone_routing
facility_100,درمانگاه شبانه روزی ساج,clinic,35.7849008,51.3613315,False,eligible_for_obstacle_safe_drone_routing
facility_101,unnamed,clinic,35.7235184,51.4352105,False,eligible_for_obstacle_safe_drone_routing
facility_102,unnamed,clinic,35.7251761,51.4354727,False,eligible_for_obstacle_safe_drone_routing
facility_103,دکتر کوهستانی,doctors,35.7701583,51.3613338,False,eligible_for_obstacle_safe_drone_routing
facility_104,آزمایشگاه دکتر ریاضی,laboratory,35.7263279,51.3225103,False,eligible_for_obstacle_safe_drone_routing
facility_105,قضاوی,doctors,35.806854,51.4676503,False,eligible_for_obstacle_safe_drone_routing
facility_106,دکتر مالک اطمینان راد متخصص ستون فقرات,doctors,35.7211539,51.3915216,False,eligible_for_obstacle_safe_drone_routing
facility_107,unnamed,doctors,35.7246328,51.4377742,True,requires_special_authorization_or_ground_handoff
facility_108,unnamed,clinic,35.6979222,51.3406476,True,requires_special_authorization_or_ground_handoff
facility_109,درمانگاه سرسبز,clinic,35.7354138,51.4955203,True,requires_special_authorization_or_ground_handoff
facility_110,کلینیک پزشکان سبلان,clinic,35.7258986,51.4596324,True,requires_special_authorization_or_ground_handoff
facility_111,دکتر رزاقی,doctors,35.80627,51.4411202,True,requires_special_authorization_or_ground_handoff
facility_112,انجمن دندانپزشکان عمومی ایران,doctors,35.7793917,51.4212408,False,eligible_for_obstacle_safe_drone_routing
facility_113,دکتر چناری,doctors,35.7314102,51.3508291,False,eligible_for_obstacle_safe_drone_routing
facility_114,مطب دکتر فرزانه,doctors,35.7506357,51.4086453,False,eligible_for_obstacle_safe_drone_routing
facility_115,دکتر سهیلا عارفی,doctors,35.7769338,51.3543045,False,eligible_for_obstacle_safe_drone_routing
facility_116,دکتر مکبری نژاد,doctors,35.797532,51.4366166,True,requires_special_authorization_or_ground_handoff
facility_117,ساختمان پزشکان کاوه,clinic,35.780236,51.4491389,False,eligible_for_obstacle_safe_drone_routing
facility_118,آزمایشگاه فراز,laboratory,35.7283552,51.5137706,False,eligible_for_obstacle_safe_drone_routing
facility_119,ساختمان پزشکان صبا,clinic,35.6573992,51.3639239,True,requires_special_authorization_or_ground_handoff
facility_120,آزمایشگاه دکتر جوادی,laboratory,35.6573917,51.364081,True,requires_special_authorization_or_ground_handoff
facility_121,ساختمان پزشکان,doctors,35.6572375,51.3658002,True,requires_special_authorization_or_ground_handoff
facility_122,مطب دکتر مظاهری,doctors,35.6572864,51.3653296,True,requires_special_authorization_or_ground_handoff
facility_123,کلینیک ترک اعتیاد پردیس,clinic,35.6573359,51.3646126,True,requires_special_authorization_or_ground_handoff
facility_124,رادیولوژی فلاح,doctors,35.6573862,51.3641602,True,requires_special_authorization_or_ground_handoff
facility_125,آزمایشگاه بهنیا,laboratory,35.6570759,51.367056,True,requires_special_authorization_or_ground_handoff
facility_126,ساختمان شماره ۳ بیمارستان,hospital,35.640617,51.4204254,False,eligible_for_obstacle_safe_drone_routing
facility_127,دکتر راحله امانی,doctors,35.7738327,51.3762782,True,requires_special_authorization_or_ground_handoff
facility_128,دکتر مهسا قربانی,doctors,35.7503106,51.4102685,False,eligible_for_obstacle_safe_drone_routing
facility_129,درمانگاه هاشمی,clinic,35.6918119,51.3510205,True,requires_special_authorization_or_ground_handoff
facility_130,مرکز جراحی محدود گاندی,clinic,35.7567068,51.4133668,True,requires_special_authorization_or_ground_handoff
facility_131,unnamed,clinic,35.672278,51.4197943,True,requires_special_authorization_or_ground_handoff
facility_132,پایگاه سلامت جامعه زهرا همایون نامجو,clinic,35.7076664,51.4467109,True,requires_special_authorization_or_ground_handoff
facility_134,کلینیک کار درمانی صالحی,clinic,35.7077906,51.3873493,False,eligible_for_obstacle_safe_drone_routing
facility_135,مطب دکتر خدائیانی,doctors,35.7604104,51.4283268,True,requires_special_authorization_or_ground_handoff
facility_136,نصیری,doctors,35.7688571,51.3708374,False,eligible_for_obstacle_safe_drone_routing
facility_137,درمانگاه دروس,clinic,35.7675676,51.4496359,False,eligible_for_obstacle_safe_drone_routing
facility_138,مرکز توانبخشی ارمغان عصر,clinic,35.7468783,51.4126691,False,eligible_for_obstacle_safe_drone_routing
facility_139,درمانگاه شبانه روزی الزهرا,clinic,35.7398718,51.5955745,True,requires_special_authorization_or_ground_handoff
facility_140,مطب دکتر تقوى,doctors,35.7719957,51.4408716,False,eligible_for_obstacle_safe_drone_routing
facility_141,آزمایشگاه تشخیص پزشکی کاخ,laboratory,35.7094976,51.4041978,True,requires_special_authorization_or_ground_handoff
facility_142,درمانگاه مهزیار,clinic,35.6563352,51.3868483,False,eligible_for_obstacle_safe_drone_routing
facility_143,آزمایشگاه تشخیص طبی جواد,laboratory,35.6558827,51.3871816,False,eligible_for_obstacle_safe_drone_routing
facility_144,بهبود,clinic,35.7292904,51.4271573,True,requires_special_authorization_or_ground_handoff
facility_145,کلینیک گلریز,clinic,35.7332448,51.4064096,True,requires_special_authorization_or_ground_handoff
facility_146,۳۴۴ clinic,clinic,35.7236966,51.4171623,False,eligible_for_obstacle_safe_drone_routing
facility_147,مطب دکتر کشکولی,doctors,35.752491,51.3972619,False,eligible_for_obstacle_safe_drone_routing
facility_148,آزمایشگاه پاتوبیولوژی آزادی,laboratory,35.7003321,51.3749988,False,eligible_for_obstacle_safe_drone_routing
facility_149,مرکز جراحی و پلی کلینیک تخصصی ماد,clinic,35.7732109,51.3658294,False,eligible_for_obstacle_safe_drone_routing
facility_150,عينک شالچی,clinic,35.7015752,51.4301766,True,requires_special_authorization_or_ground_handoff
facility_151,ساختمان پزشکان ۲۰۰,clinic,35.7261546,51.4184368,True,requires_special_authorization_or_ground_handoff
facility_152,دکتر ناصر سیگاری طب سوزنی,doctors,35.7602223,51.4101898,False,eligible_for_obstacle_safe_drone_routing
facility_153,بیمارستان نهاد ریاست جمهوری,clinic,35.7101824,51.4008342,True,requires_special_authorization_or_ground_handoff
facility_154,درمانگاه یادگار,clinic,35.6985467,51.3556031,True,requires_special_authorization_or_ground_handoff
facility_155,دکتر معظمی,doctors,35.7583484,51.410928,True,requires_special_authorization_or_ground_handoff
facility_156,unnamed,clinic,35.7965948,51.429244,False,eligible_for_obstacle_safe_drone_routing
facility_157,رادیولوژی و سونوگرافی یاسین,doctors,35.6533639,51.4987045,True,requires_special_authorization_or_ground_handoff
facility_158,درمانگاه ۱۳ آبان,clinic,35.6399367,51.4111283,False,eligible_for_obstacle_safe_drone_routing
facility_159,درمانگاه شبانه روزی حیان,clinic,35.756358,51.28931,False,eligible_for_obstacle_safe_drone_routing
facility_160,درمانگاه شبانه روزی صدر,clinic,35.763346,51.2905259,True,requires_special_authorization_or_ground_handoff
facility_161,مجتمع پزشکان سلسبیل,clinic,35.6857042,51.3768593,True,requires_special_authorization_or_ground_handoff
facility_162,درمانگاه اکبر آباد,clinic,35.6791797,51.3772466,False,eligible_for_obstacle_safe_drone_routing
facility_163,کلینیک دیابت ثمین,clinic,35.7994558,51.4035064,True,requires_special_authorization_or_ground_handoff
facility_164,درمانگاه شبانه روزی دندانپزشکی الغدیر,clinic,35.6872941,51.3691566,True,requires_special_authorization_or_ground_handoff
facility_165,آزمایشگاه,laboratory,35.7011873,51.4104405,False,eligible_for_obstacle_safe_drone_routing
facility_166,درمانگاه دکتر صفدریان,clinic,35.7305871,51.480897,True,requires_special_authorization_or_ground_handoff
facility_167,آزمایشگاه پزشکی,laboratory,35.6620327,51.4451367,False,eligible_for_obstacle_safe_drone_routing
facility_168,طب سنتی دکتر پرما,doctors,35.7638965,51.4750673,False,eligible_for_obstacle_safe_drone_routing
facility_169,دکتر نفیسه کاشانی زاده,doctors,35.70313,51.4028201,False,eligible_for_obstacle_safe_drone_routing
facility_170,دکتر رضا عرفانیان سلیم,doctors,35.7642904,51.4201091,True,requires_special_authorization_or_ground_handoff
facility_171,آزمایشگاه پزشکی,laboratory,35.7091389,51.4063969,False,eligible_for_obstacle_safe_drone_routing
facility_173,آزمایشگاه پزشکی ناجا,laboratory,35.6999007,51.3926964,False,eligible_for_obstacle_safe_drone_routing
facility_174,پایگاه سلامت شهید شمیرانی,clinic,35.7055933,51.449003,True,requires_special_authorization_or_ground_handoff
facility_175,درمانگاه مجیدیه,clinic,35.7345487,51.4624641,False,eligible_for_obstacle_safe_drone_routing
facility_176,گروه پزشکی تخصصی غرب,clinic,35.6918629,51.3700485,True,requires_special_authorization_or_ground_handoff
facility_177,حکیم,doctors,35.7059675,51.4303857,True,requires_special_authorization_or_ground_handoff
facility_178,ساختمان پزشکان مهرداد,clinic,35.7250504,51.4258853,True,requires_special_authorization_or_ground_handoff
facility_179,کلینیک ویژه بیمارستان شریعتی,clinic,35.722021,51.389346,False,eligible_for_obstacle_safe_drone_routing
facility_180,کلینیک ارتوپدی پارت ارم,clinic,35.71121,51.4145661,True,requires_special_authorization_or_ground_handoff
facility_181,مطب دکتر علی پناه خلج متخصص کودکان,doctors,35.6572164,51.365549,True,requires_special_authorization_or_ground_handoff
facility_182,دکتر سارا میرزنده دل,doctors,35.7197676,51.3359315,True,requires_special_authorization_or_ground_handoff
facility_183,مرکز خدمات مشاوره ای جوان,clinic,35.7345286,51.4873718,True,requires_special_authorization_or_ground_handoff
facility_184,دکتر پریسا عبدلی,doctors,35.7412915,51.472301,False,eligible_for_obstacle_safe_drone_routing
facility_185,مرکز جراحی فک وصورت ایران,clinic,35.7586446,51.4103584,True,requires_special_authorization_or_ground_handoff
facility_186,مطب دکتر مجید حاتمی,doctors,35.7675956,51.411357,False,eligible_for_obstacle_safe_drone_routing
facility_187,آزمایشگاه پاتوبیولوژی شمس,laboratory,35.7488785,51.4716835,False,eligible_for_obstacle_safe_drone_routing
facility_188,درمانگاه خیریه ولی الله,clinic,35.6739691,51.4435639,True,requires_special_authorization_or_ground_handoff
facility_189,یاریگر,clinic,35.74609,51.4056011,False,eligible_for_obstacle_safe_drone_routing
facility_190,مطب محمدرضا سعادت,doctors,35.7023832,51.3135231,True,requires_special_authorization_or_ground_handoff
facility_191,کلینیک چشم پزشکی سینوهه,clinic,35.7747821,51.3771325,True,requires_special_authorization_or_ground_handoff
facility_192,unnamed,clinic,35.7432773,51.5310422,False,eligible_for_obstacle_safe_drone_routing
facility_193,unnamed,clinic,35.7950376,51.4823437,False,eligible_for_obstacle_safe_drone_routing
facility_194,آزمایشگاه نیلو,laboratory,35.7405977,51.4103486,False,eligible_for_obstacle_safe_drone_routing
facility_195,کلینیک سلامت,clinic,35.7814577,51.4674309,True,requires_special_authorization_or_ground_handoff
facility_196,فرهاد علی همتی,doctors,35.772903,51.4346088,False,eligible_for_obstacle_safe_drone_routing
facility_197,مطب خانم دکتر رزیتا داوری,doctors,35.7216972,51.389098,False,eligible_for_obstacle_safe_drone_routing
facility_198,درمانگاه خیریه امامزاده حسن,clinic,35.6655666,51.3598173,True,requires_special_authorization_or_ground_handoff
facility_199,unnamed,doctors,35.8098017,51.4128784,False,eligible_for_obstacle_safe_drone_routing
facility_200,تصویربرداری پزشکی کشور,doctors,35.7015576,51.3776909,True,requires_special_authorization_or_ground_handoff
facility_201,درمانگاه خیریه محمدولی فرمانفرمائیان,clinic,35.6446272,51.3070955,False,eligible_for_obstacle_safe_drone_routing
facility_202,درمانگاه خیریه المهدی,clinic,35.7500585,51.451529,False,eligible_for_obstacle_safe_drone_routing
facility_203,مرکز دیابت و بیماریهای متابولیک,clinic,35.7195306,51.3877882,True,requires_special_authorization_or_ground_handoff
facility_204,مطب دکتر اصغری,doctors,35.7817361,51.3731683,False,eligible_for_obstacle_safe_drone_routing
facility_205,آزمایشگاه پاتولوژی و ژنتیک کریمی نژاد - نجم آبادی,laboratory,35.7545488,51.3666761,False,eligible_for_obstacle_safe_drone_routing
facility_206,آزمایشگاه پزشکی ثمره,laboratory,35.7681173,51.4602444,True,requires_special_authorization_or_ground_handoff
facility_207,دکتر محمود ارشد فوق تخصص غدد,doctors,35.7230132,51.3720936,False,eligible_for_obstacle_safe_drone_routing
facility_208,مجتمع پزشکان قائم,clinic,35.6350592,51.4917414,False,eligible_for_obstacle_safe_drone_routing
facility_209,درمانگاه تخصصی مسعودیه,clinic,35.63533,51.4965719,True,requires_special_authorization_or_ground_handoff
facility_210,مجتمع خدمات پزشکی,clinic,35.7277734,51.3021797,True,requires_special_authorization_or_ground_handoff
facility_211,درمانگاه رازی,clinic,35.6337727,51.4969899,False,eligible_for_obstacle_safe_drone_routing
facility_212,درمانگاه شهرداری منطقه یک,clinic,35.8124656,51.4558123,False,eligible_for_obstacle_safe_drone_routing
facility_213,رادیولوژی تخصصی دهان و فک دکتر ساندرا مهر علی زاده,doctors,35.7409807,51.4636145,False,eligible_for_obstacle_safe_drone_routing
facility_214,لاله,clinic,35.7292646,51.3611484,False,eligible_for_obstacle_safe_drone_routing
facility_215,درمانگاه ستاره,clinic,35.771175,51.3793367,False,eligible_for_obstacle_safe_drone_routing
facility_216,شهید کلانتری,clinic,35.7160025,51.4178664,False,eligible_for_obstacle_safe_drone_routing
facility_217,مرکز جراحی شفا,clinic,35.7222786,51.331675,True,requires_special_authorization_or_ground_handoff
facility_218,درمانگاه سحر,clinic,35.7445133,51.3040702,False,eligible_for_obstacle_safe_drone_routing
facility_219,درمانگاه خیریه مکتب الزهرا,clinic,35.6784739,51.4626765,True,requires_special_authorization_or_ground_handoff
facility_220,درمانگاه شبانه روزی آودیسیان,clinic,35.7189726,51.4823201,True,requires_special_authorization_or_ground_handoff
facility_221,درمانگاه خیریه انصار,clinic,35.6740316,51.4398307,True,requires_special_authorization_or_ground_handoff
facility_222,مطب دکتر شهریار یحیوی,doctors,35.7562941,51.3946437,False,eligible_for_obstacle_safe_drone_routing
facility_223,درمانگاه شهرک دانشگاه,clinic,35.7158924,51.2071239,False,eligible_for_obstacle_safe_drone_routing
facility_224,unnamed,doctors,35.7236403,51.423459,False,eligible_for_obstacle_safe_drone_routing
facility_225,دکتر امینی,doctors,35.7589751,51.3961741,True,requires_special_authorization_or_ground_handoff
facility_226,مطب دکتر محمد میر,doctors,35.7249921,51.382961,False,eligible_for_obstacle_safe_drone_routing
facility_227,دکتر جهانبین,doctors,35.6681234,51.4530846,True,requires_special_authorization_or_ground_handoff
facility_228,مجتمع پرشکی حضرت زهرا(ع),clinic,35.7598027,51.2810414,False,eligible_for_obstacle_safe_drone_routing
facility_229,درمانگاه شبانه‌روزی پارت,clinic,35.7206171,51.3532662,True,requires_special_authorization_or_ground_handoff
facility_230,مطب دکتر رضوانی,doctors,35.7413788,51.4100457,False,eligible_for_obstacle_safe_drone_routing
facility_231,درمانگاه امام حسن مجتبی,clinic,35.7132164,51.4585872,True,requires_special_authorization_or_ground_handoff
facility_232,درمانگاه آموزش و پرورش منطقه ۸ تهران,clinic,35.7124396,51.4692934,True,requires_special_authorization_or_ground_handoff
facility_233,کلینیک تخصصی دندانپزشکی دکتر رامیار,clinic,35.7237962,51.3086091,True,requires_special_authorization_or_ground_handoff
facility_234,کلینیک ترک اعتیاد فانوس,clinic,35.7831609,51.3559053,False,eligible_for_obstacle_safe_drone_routing
facility_235,دکترفریده صمدی,doctors,35.7341851,51.4137519,False,eligible_for_obstacle_safe_drone_routing
facility_236,درمانگاه فرهنگیان زینب بختیاری,clinic,35.6511228,51.4868987,False,eligible_for_obstacle_safe_drone_routing
facility_237,درمانگاه شبانه روزی فرجام,clinic,35.7397622,51.4948536,False,eligible_for_obstacle_safe_drone_routing
facility_238,دکتر کیوان خسروی فرد,doctors,35.7355913,51.4880233,True,requires_special_authorization_or_ground_handoff
facility_239,درمانگاه شفا,clinic,35.7339323,51.5165364,False,eligible_for_obstacle_safe_drone_routing
facility_240,درمانگاه شبانه روزی اتکا,clinic,35.6250867,51.411495,False,eligible_for_obstacle_safe_drone_routing
facility_241,unnamed,doctors,35.7352843,51.4153207,True,requires_special_authorization_or_ground_handoff
facility_242,دکتر علی بهتری متخصص مغز,doctors,35.7408926,51.4104665,False,eligible_for_obstacle_safe_drone_routing
facility_243,رادیولوژی و سونوگرافی نوین پرتو,doctors,35.7957502,51.4478107,True,requires_special_authorization_or_ground_handoff
facility_244,سلامت مادران,clinic,35.7806149,51.4620316,False,eligible_for_obstacle_safe_drone_routing
